"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20170703","월","00","부산광역시","사상구","학장동","5"
"20170703","월","00","부산광역시","사하구","감천동","5"
"20170703","월","00","부산광역시","사하구","신평동","6"
"20170703","월","00","부산광역시","서구","부민동1가","5"
"20170703","월","00","부산광역시","서구","부용동1가","5"
"20170703","월","00","부산광역시","서구","암남동","5"
"20170703","월","00","부산광역시","수영구","광안동","5"
"20170703","월","00","부산광역시","연제구","연산동","7"
"20170703","월","00","부산광역시","영도구","영선동3가","5"
"20170703","월","00","부산광역시","중구","보수동1가","5"
"20170703","월","00","부산광역시","중구","영주동","5"
"20170703","월","00","부산광역시","중구","중앙동1가","5"
"20170703","월","00","부산광역시","해운대구","반여동","5"
"20170703","월","00","부산광역시","해운대구","송정동","5"
"20170703","월","00","부산광역시","해운대구","우동","6"
"20170703","월","00","부산광역시","해운대구","좌동","6"
"20170703","월","00","부산광역시","해운대구","반송동","5"
"20170703","월","00","부산광역시","해운대구","중동","5"
"20170703","월","01","부산광역시","강서구","강동동","5"
"20170703","월","01","부산광역시","강서구","신호동","5"
"20170703","월","01","부산광역시","금정구","두구동","5"
"20170703","월","01","부산광역시","금정구","부곡동","5"
"20170703","월","01","부산광역시","기장군","일광면","5"
"20170703","월","01","부산광역시","기장군","정관읍","5"
"20170703","월","01","부산광역시","남구","대연동","5"
"20170703","월","01","부산광역시","남구","용당동","5"
"20170703","월","01","부산광역시","남구","용호동","5"
"20170703","월","01","부산광역시","동래구","명륜동","5"
"20170703","월","01","부산광역시","동래구","안락동","5"
"20170703","월","01","부산광역시","부산진구","부암동","9"
"20170703","월","01","부산광역시","북구","구포동","5"
"20170703","월","01","부산광역시","사상구","감전동","5"
"20170703","월","01","부산광역시","사하구","괴정동","5"
"20170703","월","01","부산광역시","사하구","신평동","6"
"20170703","월","01","부산광역시","사하구","장림동","5"
"20170703","월","01","부산광역시","서구","부민동1가","5"
"20170703","월","01","부산광역시","수영구","광안동","5"
"20170703","월","01","부산광역시","연제구","연산동","5"
"20170703","월","01","부산광역시","영도구","동삼동","5"
"20170703","월","01","부산광역시","영도구","영선동3가","5"
"20170703","월","01","부산광역시","해운대구","우동","5"
"20170703","월","01","부산광역시","해운대구","좌동","5"
"20170703","월","02","부산광역시","강서구","신호동","5"
"20170703","월","02","부산광역시","금정구","부곡동","5"
"20170703","월","02","부산광역시","기장군","기장읍","5"
"20170703","월","02","부산광역시","기장군","정관읍","7"
"20170703","월","02","부산광역시","남구","대연동","5"
"20170703","월","02","부산광역시","동래구","명륜동","5"
"20170703","월","02","부산광역시","부산진구","범전동","5"
"20170703","월","02","부산광역시","부산진구","부암동","5"
"20170703","월","02","부산광역시","부산진구","전포동","5"
"20170703","월","02","부산광역시","부산진구","초읍동","5"
"20170703","월","02","부산광역시","북구","구포동","5"
"20170703","월","02","부산광역시","사상구","괘법동","5"
"20170703","월","02","부산광역시","사상구","엄궁동","5"
"20170703","월","02","부산광역시","사하구","다대동","5"
"20170703","월","02","부산광역시","사하구","신평동","5"
"20170703","월","02","부산광역시","서구","부민동1가","5"
"20170703","월","02","부산광역시","수영구","광안동","5"
"20170703","월","02","부산광역시","연제구","연산동","5"
"20170703","월","02","부산광역시","해운대구","반송동","5"
"20170703","월","02","부산광역시","해운대구","우동","6"
"20170703","월","02","부산광역시","해운대구","좌동","5"
"20170703","월","03","부산광역시","강서구","신호동","5"
"20170703","월","03","부산광역시","금정구","부곡동","5"
"20170703","월","03","부산광역시","기장군","기장읍","5"
"20170703","월","03","부산광역시","기장군","정관읍","5"
"20170703","월","03","부산광역시","남구","대연동","5"
"20170703","월","03","부산광역시","동구","범일동","5"
"20170703","월","03","부산광역시","동래구","명륜동","5"
"20170703","월","03","부산광역시","동래구","안락동","5"
"20170703","월","03","부산광역시","동래구","온천동","5"
"20170703","월","03","부산광역시","부산진구","당감동","5"
"20170703","월","03","부산광역시","부산진구","부암동","6"
"20170703","월","03","부산광역시","부산진구","부전동","5"
"20170703","월","03","부산광역시","북구","화명동","5"
"20170703","월","03","부산광역시","사상구","학장동","5"
"20170703","월","03","부산광역시","사하구","신평동","5"
"20170703","월","03","부산광역시","서구","부민동1가","5"
"20170703","월","03","부산광역시","서구","암남동","5"
"20170703","월","03","부산광역시","수영구","광안동","5"
"20170703","월","03","부산광역시","수영구","망미동","5"
"20170703","월","03","부산광역시","연제구","연산동","5"
"20170703","월","03","부산광역시","영도구","동삼동","5"
"20170703","월","03","부산광역시","영도구","영선동3가","5"
"20170703","월","03","부산광역시","해운대구","우동","5"
"20170703","월","03","부산광역시","해운대구","좌동","5"
"20170703","월","03","부산광역시","해운대구","중동","5"
"20170703","월","04","부산광역시","금정구","부곡동","5"
"20170703","월","04","부산광역시","기장군","기장읍","5"
"20170703","월","04","부산광역시","기장군","정관읍","8"
"20170703","월","04","부산광역시","기장군","장안읍","5"
"20170703","월","04","부산광역시","남구","대연동","14"
"20170703","월","04","부산광역시","동래구","명륜동","9"
"20170703","월","04","부산광역시","동래구","안락동","5"
"20170703","월","04","부산광역시","동래구","온천동","5"
"20170703","월","04","부산광역시","부산진구","부암동","25"
"20170703","월","04","부산광역시","부산진구","양정동","5"
"20170703","월","04","부산광역시","북구","구포동","15"
"20170703","월","04","부산광역시","북구","만덕동","5"
"20170703","월","04","부산광역시","사상구","모라동","5"
"20170703","월","04","부산광역시","사상구","주례동","5"
"20170703","월","04","부산광역시","사상구","학장동","5"
"20170703","월","04","부산광역시","사하구","다대동","5"
"20170703","월","04","부산광역시","사하구","당리동","5"
"20170703","월","04","부산광역시","사하구","감천동","5"
"20170703","월","04","부산광역시","사하구","신평동","8"
"20170703","월","04","부산광역시","서구","동대신동3가","5"
"20170703","월","04","부산광역시","서구","부민동1가","5"
"20170703","월","04","부산광역시","서구","부용동1가","5"
"20170703","월","04","부산광역시","수영구","광안동","6"
"20170703","월","04","부산광역시","연제구","거제동","5"
"20170703","월","04","부산광역시","연제구","연산동","7"
"20170703","월","04","부산광역시","영도구","동삼동","5"
"20170703","월","04","부산광역시","영도구","영선동3가","6"
"20170703","월","04","부산광역시","영도구","청학동","5"
"20170703","월","04","부산광역시","해운대구","우동","13"
"20170703","월","04","부산광역시","해운대구","재송동","5"
"20170703","월","04","부산광역시","해운대구","좌동","6"
"20170703","월","04","부산광역시","해운대구","중동","5"
"20170703","월","05","부산광역시","강서구","송정동","5"
"20170703","월","05","부산광역시","강서구","신호동","5"
"20170703","월","05","부산광역시","금정구","부곡동","9"
"20170703","월","05","부산광역시","금정구","장전동","5"
"20170703","월","05","부산광역시","기장군","기장읍","5"
"20170703","월","05","부산광역시","기장군","정관읍","8"
"20170703","월","05","부산광역시","남구","감만동","5"
"20170703","월","05","부산광역시","남구","대연동","12"
"20170703","월","05","부산광역시","남구","문현동","5"
"20170703","월","05","부산광역시","동래구","안락동","10"
"20170703","월","05","부산광역시","동래구","온천동","5"
"20170703","월","05","부산광역시","동래구","명륜동","5"
"20170703","월","05","부산광역시","부산진구","범천동","5"
"20170703","월","05","부산광역시","부산진구","부암동","22"
"20170703","월","05","부산광역시","부산진구","양정동","5"
"20170703","월","05","부산광역시","북구","구포동","15"
"20170703","월","05","부산광역시","사상구","괘법동","5"
"20170703","월","05","부산광역시","사상구","모라동","5"
"20170703","월","05","부산광역시","사상구","주례동","5"
"20170703","월","05","부산광역시","사상구","학장동","6"
"20170703","월","05","부산광역시","사상구","엄궁동","5"
"20170703","월","05","부산광역시","사하구","감천동","5"
"20170703","월","05","부산광역시","사하구","구평동","5"
"20170703","월","05","부산광역시","사하구","다대동","5"
"20170703","월","05","부산광역시","사하구","신평동","13"
"20170703","월","05","부산광역시","서구","부민동1가","5"
"20170703","월","05","부산광역시","서구","부용동1가","5"
"20170703","월","05","부산광역시","수영구","광안동","5"
"20170703","월","05","부산광역시","수영구","남천동","5"
"20170703","월","05","부산광역시","연제구","거제동","5"
"20170703","월","05","부산광역시","연제구","연산동","9"
"20170703","월","05","부산광역시","영도구","동삼동","5"
"20170703","월","05","부산광역시","영도구","봉래동3가","5"
"20170703","월","05","부산광역시","영도구","봉래동5가","5"
"20170703","월","05","부산광역시","영도구","영선동3가","7"
"20170703","월","05","부산광역시","해운대구","반송동","5"
"20170703","월","05","부산광역시","해운대구","반여동","5"
"20170703","월","05","부산광역시","해운대구","우동","14"
"20170703","월","05","부산광역시","해운대구","좌동","13"
"20170703","월","06","부산광역시","강서구","녹산동","5"
"20170703","월","06","부산광역시","강서구","신호동","5"
"20170703","월","06","부산광역시","금정구","구서동","5"
"20170703","월","06","부산광역시","금정구","부곡동","9"
"20170703","월","06","부산광역시","기장군","기장읍","8"
"20170703","월","06","부산광역시","기장군","장안읍","5"
"20170703","월","06","부산광역시","기장군","정관면","5"
"20170703","월","06","부산광역시","기장군","정관읍","5"
"20170703","월","06","부산광역시","남구","감만동","5"
"20170703","월","06","부산광역시","남구","대연동","17"
"20170703","월","06","부산광역시","남구","용호동","5"
"20170703","월","06","부산광역시","동구","초량동","5"
"20170703","월","06","부산광역시","동래구","명륜동","15"
"20170703","월","06","부산광역시","동래구","안락동","11"
"20170703","월","06","부산광역시","동래구","온천동","5"
"20170703","월","06","부산광역시","부산진구","당감동","5"
"20170703","월","06","부산광역시","부산진구","부암동","24"
"20170703","월","06","부산광역시","부산진구","전포동","5"
"20170703","월","06","부산광역시","부산진구","초읍동","5"
"20170703","월","06","부산광역시","북구","구포동","30"
"20170703","월","06","부산광역시","북구","만덕동","5"
"20170703","월","06","부산광역시","북구","화명동","5"
"20170703","월","06","부산광역시","사상구","괘법동","5"
"20170703","월","06","부산광역시","사상구","모라동","5"
"20170703","월","06","부산광역시","사상구","엄궁동","5"
"20170703","월","06","부산광역시","사상구","학장동","14"
"20170703","월","06","부산광역시","사하구","감천동","5"
"20170703","월","06","부산광역시","사하구","신평동","10"
"20170703","월","06","부산광역시","서구","부민동1가","5"
"20170703","월","06","부산광역시","서구","부용동1가","5"
"20170703","월","06","부산광역시","서구","토성동2가","5"
"20170703","월","06","부산광역시","수영구","광안동","5"
"20170703","월","06","부산광역시","수영구","남천동","5"
"20170703","월","06","부산광역시","수영구","망미동","5"
"20170703","월","06","부산광역시","연제구","연산동","14"
"20170703","월","06","부산광역시","영도구","동삼동","5"
"20170703","월","06","부산광역시","영도구","영선동3가","5"
"20170703","월","06","부산광역시","영도구","청학동","5"
"20170703","월","06","부산광역시","해운대구","우동","18"
"20170703","월","06","부산광역시","해운대구","반여동","5"
"20170703","월","06","부산광역시","해운대구","재송동","5"
"20170703","월","06","부산광역시","해운대구","반송동","5"
"20170703","월","06","부산광역시","해운대구","좌동","11"
"20170703","월","07","부산광역시","강서구","대저2동","5"
"20170703","월","07","부산광역시","강서구","신호동","5"
"20170703","월","07","부산광역시","금정구","부곡동","19"
"20170703","월","07","부산광역시","금정구","서동","5"
"20170703","월","07","부산광역시","금정구","장전동","5"
"20170703","월","07","부산광역시","기장군","기장읍","18"
"20170703","월","07","부산광역시","기장군","장안읍","5"
"20170703","월","07","부산광역시","기장군","정관면","5"
"20170703","월","07","부산광역시","기장군","정관읍","21"
"20170703","월","07","부산광역시","남구","대연동","32"
"20170703","월","07","부산광역시","남구","문현동","5"
"20170703","월","07","부산광역시","남구","용호동","5"
"20170703","월","07","부산광역시","동구","범일동","5"
"20170703","월","07","부산광역시","동구","초량동","5"
"20170703","월","07","부산광역시","동래구","명륜동","20"
"20170703","월","07","부산광역시","동래구","명장동","5"
"20170703","월","07","부산광역시","동래구","사직동","5"
"20170703","월","07","부산광역시","동래구","안락동","20"
"20170703","월","07","부산광역시","동래구","온천동","5"
"20170703","월","07","부산광역시","부산진구","당감동","5"
"20170703","월","07","부산광역시","부산진구","범전동","5"
"20170703","월","07","부산광역시","부산진구","범천동","5"
"20170703","월","07","부산광역시","부산진구","부암동","57"
"20170703","월","07","부산광역시","부산진구","부전동","5"
"20170703","월","07","부산광역시","부산진구","양정동","5"
"20170703","월","07","부산광역시","부산진구","연지동","5"
"20170703","월","07","부산광역시","부산진구","전포동","5"
"20170703","월","07","부산광역시","북구","구포동","52"
"20170703","월","07","부산광역시","북구","금곡동","5"
"20170703","월","07","부산광역시","북구","덕천동","5"
"20170703","월","07","부산광역시","북구","만덕동","5"
"20170703","월","07","부산광역시","북구","화명동","5"
"20170703","월","07","부산광역시","사상구","괘법동","5"
"20170703","월","07","부산광역시","사상구","덕포동","5"
"20170703","월","07","부산광역시","사상구","모라동","5"
"20170703","월","07","부산광역시","사상구","엄궁동","5"
"20170703","월","07","부산광역시","사상구","주례동","5"
"20170703","월","07","부산광역시","사상구","학장동","29"
"20170703","월","07","부산광역시","사하구","감천동","5"
"20170703","월","07","부산광역시","사하구","신평동","29"
"20170703","월","07","부산광역시","사하구","구평동","5"
"20170703","월","07","부산광역시","서구","부민동1가","6"
"20170703","월","07","부산광역시","서구","부용동1가","9"
"20170703","월","07","부산광역시","서구","암남동","5"
"20170703","월","07","부산광역시","서구","토성동5가","5"
"20170703","월","07","부산광역시","수영구","광안동","17"
"20170703","월","07","부산광역시","수영구","남천동","5"
"20170703","월","07","부산광역시","수영구","망미동","5"
"20170703","월","07","부산광역시","수영구","민락동","5"
"20170703","월","07","부산광역시","수영구","수영동","5"
"20170703","월","07","부산광역시","연제구","거제동","5"
"20170703","월","07","부산광역시","연제구","연산동","24"
"20170703","월","07","부산광역시","영도구","동삼동","5"
"20170703","월","07","부산광역시","영도구","영선동3가","12"
"20170703","월","07","부산광역시","해운대구","반여동","6"
"20170703","월","07","부산광역시","해운대구","송정동","5"
"20170703","월","07","부산광역시","해운대구","우동","36"
"20170703","월","07","부산광역시","해운대구","재송동","5"
"20170703","월","07","부산광역시","해운대구","좌동","13"
"20170703","월","07","부산광역시","해운대구","중동","5"
"20170703","월","08","부산광역시","강서구","대저1동","5"
"20170703","월","08","부산광역시","강서구","대저2동","5"
"20170703","월","08","부산광역시","강서구","신호동","5"
"20170703","월","08","부산광역시","금정구","구서동","5"
"20170703","월","08","부산광역시","금정구","부곡동","16"
"20170703","월","08","부산광역시","기장군","기장읍","22"
"20170703","월","08","부산광역시","기장군","정관읍","23"
"20170703","월","08","부산광역시","기장군","철마면","5"
"20170703","월","08","부산광역시","남구","대연동","51"
"20170703","월","08","부산광역시","남구","문현동","5"
"20170703","월","08","부산광역시","남구","용호동","5"
"20170703","월","08","부산광역시","동구","범일동","5"
"20170703","월","08","부산광역시","동구","수정동","5"
"20170703","월","08","부산광역시","동구","초량동","5"
"20170703","월","08","부산광역시","동래구","명륜동","18"
"20170703","월","08","부산광역시","동래구","명장동","5"
"20170703","월","08","부산광역시","동래구","사직동","5"
"20170703","월","08","부산광역시","동래구","안락동","28"
"20170703","월","08","부산광역시","동래구","온천동","5"
"20170703","월","08","부산광역시","부산진구","가야동","5"
"20170703","월","08","부산광역시","부산진구","당감동","5"
"20170703","월","08","부산광역시","부산진구","개금동","5"
"20170703","월","08","부산광역시","부산진구","범전동","5"
"20170703","월","08","부산광역시","부산진구","부암동","75"
"20170703","월","08","부산광역시","부산진구","부전동","5"
"20170703","월","08","부산광역시","부산진구","양정동","5"
"20170703","월","08","부산광역시","부산진구","초읍동","5"
"20170703","월","08","부산광역시","북구","구포동","49"
"20170703","월","08","부산광역시","북구","금곡동","5"
"20170703","월","08","부산광역시","북구","만덕동","5"
"20170703","월","08","부산광역시","북구","화명동","5"
"20170703","월","08","부산광역시","사상구","감전동","5"
"20170703","월","08","부산광역시","사상구","괘법동","5"
"20170703","월","08","부산광역시","사상구","덕포동","5"
"20170703","월","08","부산광역시","사상구","모라동","10"
"20170703","월","08","부산광역시","사상구","엄궁동","5"
"20170703","월","08","부산광역시","사상구","주례동","5"
"20170703","월","08","부산광역시","사상구","학장동","23"
"20170703","월","08","부산광역시","사하구","구평동","5"
"20170703","월","08","부산광역시","사하구","당리동","5"
"20170703","월","08","부산광역시","사하구","신평동","26"
"20170703","월","08","부산광역시","사하구","감천동","5"
"20170703","월","08","부산광역시","서구","부민동1가","6"
"20170703","월","08","부산광역시","서구","부용동1가","6"
"20170703","월","08","부산광역시","서구","서대신동3가","5"
"20170703","월","08","부산광역시","서구","암남동","5"
"20170703","월","08","부산광역시","수영구","광안동","19"
"20170703","월","08","부산광역시","수영구","남천동","5"
"20170703","월","08","부산광역시","수영구","망미동","5"
"20170703","월","08","부산광역시","수영구","수영동","5"
"20170703","월","08","부산광역시","연제구","거제동","5"
"20170703","월","08","부산광역시","연제구","연산동","19"
"20170703","월","08","부산광역시","영도구","동삼동","5"
"20170703","월","08","부산광역시","영도구","봉래동3가","5"
"20170703","월","08","부산광역시","영도구","영선동3가","19"
"20170703","월","08","부산광역시","영도구","청학동","5"
"20170703","월","08","부산광역시","중구","보수동1가","5"
"20170703","월","08","부산광역시","해운대구","반여동","5"
"20170703","월","08","부산광역시","해운대구","우동","35"
"20170703","월","08","부산광역시","해운대구","재송동","5"
"20170703","월","08","부산광역시","해운대구","좌동","27"
"20170703","월","08","부산광역시","해운대구","중동","5"
"20170703","월","09","부산광역시","강서구","대저2동","5"
"20170703","월","09","부산광역시","금정구","구서동","5"
"20170703","월","09","부산광역시","금정구","남산동","5"
"20170703","월","09","부산광역시","금정구","부곡동","22"
"20170703","월","09","부산광역시","금정구","서동","5"
"20170703","월","09","부산광역시","금정구","장전동","5"
"20170703","월","09","부산광역시","기장군","기장읍","17"
"20170703","월","09","부산광역시","기장군","정관면","5"
"20170703","월","09","부산광역시","기장군","정관읍","49"
"20170703","월","09","부산광역시","남구","대연동","33"
"20170703","월","09","부산광역시","남구","문현동","5"
"20170703","월","09","부산광역시","남구","용당동","5"
"20170703","월","09","부산광역시","남구","용호동","5"
"20170703","월","09","부산광역시","동구","범일동","5"
"20170703","월","09","부산광역시","동구","수정동","5"
"20170703","월","09","부산광역시","동구","좌천동","5"
"20170703","월","09","부산광역시","동래구","명륜동","21"
"20170703","월","09","부산광역시","동래구","명장동","5"
"20170703","월","09","부산광역시","동래구","복천동","5"
"20170703","월","09","부산광역시","동래구","사직동","5"
"20170703","월","09","부산광역시","동래구","안락동","23"
"20170703","월","09","부산광역시","동래구","온천동","5"
"20170703","월","09","부산광역시","부산진구","가야동","5"
"20170703","월","09","부산광역시","부산진구","개금동","5"
"20170703","월","09","부산광역시","부산진구","당감동","5"
"20170703","월","09","부산광역시","부산진구","범전동","5"
"20170703","월","09","부산광역시","부산진구","부암동","67"
"20170703","월","09","부산광역시","부산진구","전포동","5"
"20170703","월","09","부산광역시","부산진구","양정동","5"
"20170703","월","09","부산광역시","북구","구포동","39"
"20170703","월","09","부산광역시","북구","덕천동","5"
"20170703","월","09","부산광역시","북구","만덕동","5"
"20170703","월","09","부산광역시","사상구","괘법동","5"
"20170703","월","09","부산광역시","사상구","주례동","5"
"20170703","월","09","부산광역시","사상구","학장동","19"
"20170703","월","09","부산광역시","사하구","감천동","5"
"20170703","월","09","부산광역시","사하구","괴정동","5"
"20170703","월","09","부산광역시","사하구","당리동","5"
"20170703","월","09","부산광역시","사하구","신평동","36"
"20170703","월","09","부산광역시","사하구","장림동","5"
"20170703","월","09","부산광역시","사하구","하단동","5"
"20170703","월","09","부산광역시","서구","동대신동3가","5"
"20170703","월","09","부산광역시","서구","부민동1가","9"
"20170703","월","09","부산광역시","서구","부용동1가","8"
"20170703","월","09","부산광역시","서구","서대신동3가","5"
"20170703","월","09","부산광역시","서구","암남동","5"
"20170703","월","09","부산광역시","수영구","광안동","15"
"20170703","월","09","부산광역시","수영구","망미동","5"
"20170703","월","09","부산광역시","수영구","민락동","5"
"20170703","월","09","부산광역시","연제구","연산동","21"
"20170703","월","09","부산광역시","영도구","동삼동","5"
"20170703","월","09","부산광역시","영도구","영선동3가","13"
"20170703","월","09","부산광역시","영도구","청학동","5"
"20170703","월","09","부산광역시","해운대구","반송동","5"
"20170703","월","09","부산광역시","해운대구","반여동","5"
"20170703","월","09","부산광역시","해운대구","우동","44"
"20170703","월","09","부산광역시","해운대구","재송동","5"
"20170703","월","09","부산광역시","해운대구","좌동","30"
"20170703","월","09","부산광역시","해운대구","중동","5"
"20170703","월","10","부산광역시","강서구","대저2동","5"
"20170703","월","10","부산광역시","강서구","명지동","5"
"20170703","월","10","부산광역시","금정구","구서동","5"
"20170703","월","10","부산광역시","금정구","부곡동","13"
"20170703","월","10","부산광역시","기장군","기장읍","6"
"20170703","월","10","부산광역시","기장군","정관면","5"
"20170703","월","10","부산광역시","기장군","정관읍","21"
"20170703","월","10","부산광역시","남구","대연동","26"
"20170703","월","10","부산광역시","남구","문현동","5"
"20170703","월","10","부산광역시","남구","용당동","5"
"20170703","월","10","부산광역시","남구","용호동","5"
"20170703","월","10","부산광역시","동구","범일동","5"
"20170703","월","10","부산광역시","동구","수정동","5"
"20170703","월","10","부산광역시","동구","좌천동","5"
"20170703","월","10","부산광역시","동래구","명륜동","11"
"20170703","월","10","부산광역시","동래구","사직동","5"
"20170703","월","10","부산광역시","동래구","안락동","16"
"20170703","월","10","부산광역시","동래구","온천동","5"
"20170703","월","10","부산광역시","부산진구","가야동","5"
"20170703","월","10","부산광역시","부산진구","개금동","5"
"20170703","월","10","부산광역시","부산진구","범전동","5"
"20170703","월","10","부산광역시","부산진구","범천동","5"
"20170703","월","10","부산광역시","부산진구","부암동","55"
"20170703","월","10","부산광역시","부산진구","양정동","5"
"20170703","월","10","부산광역시","부산진구","연지동","5"
"20170703","월","10","부산광역시","부산진구","전포동","5"
"20170703","월","10","부산광역시","부산진구","당감동","5"
"20170703","월","10","부산광역시","북구","구포동","36"
"20170703","월","10","부산광역시","북구","만덕동","5"
"20170703","월","10","부산광역시","사상구","괘법동","5"
"20170703","월","10","부산광역시","사상구","모라동","5"
"20170703","월","10","부산광역시","사상구","엄궁동","5"
"20170703","월","10","부산광역시","사상구","주례동","5"
"20170703","월","10","부산광역시","사상구","학장동","13"
"20170703","월","10","부산광역시","사하구","구평동","5"
"20170703","월","10","부산광역시","사하구","다대동","5"
"20170703","월","10","부산광역시","사하구","당리동","5"
"20170703","월","10","부산광역시","사하구","신평동","35"
"20170703","월","10","부산광역시","사하구","장림동","5"
"20170703","월","10","부산광역시","서구","부민동2가","5"
"20170703","월","10","부산광역시","서구","부용동1가","7"
"20170703","월","10","부산광역시","서구","부민동1가","5"
"20170703","월","10","부산광역시","서구","암남동","5"
"20170703","월","10","부산광역시","서구","토성동2가","5"
"20170703","월","10","부산광역시","수영구","광안동","8"
"20170703","월","10","부산광역시","수영구","남천동","5"
"20170703","월","10","부산광역시","수영구","망미동","5"
"20170703","월","10","부산광역시","수영구","민락동","5"
"20170703","월","10","부산광역시","연제구","거제동","5"
"20170703","월","10","부산광역시","연제구","연산동","19"
"20170703","월","10","부산광역시","영도구","동삼동","5"
"20170703","월","10","부산광역시","영도구","봉래동3가","5"
"20170703","월","10","부산광역시","영도구","영선동3가","12"
"20170703","월","10","부산광역시","영도구","청학동","5"
"20170703","월","10","부산광역시","해운대구","반송동","5"
"20170703","월","10","부산광역시","해운대구","반여동","5"
"20170703","월","10","부산광역시","해운대구","우동","41"
"20170703","월","10","부산광역시","해운대구","재송동","5"
"20170703","월","10","부산광역시","해운대구","좌동","31"
"20170703","월","10","부산광역시","해운대구","중동","5"
"20170703","월","11","부산광역시","강서구","강동동","5"
"20170703","월","11","부산광역시","강서구","대저1동","5"
"20170703","월","11","부산광역시","강서구","송정동","5"
"20170703","월","11","부산광역시","강서구","신호동","5"
"20170703","월","11","부산광역시","강서구","대저2동","5"
"20170703","월","11","부산광역시","금정구","구서동","5"
"20170703","월","11","부산광역시","금정구","부곡동","21"
"20170703","월","11","부산광역시","금정구","장전동","5"
"20170703","월","11","부산광역시","기장군","기장읍","5"
"20170703","월","11","부산광역시","기장군","정관면","5"
"20170703","월","11","부산광역시","기장군","정관읍","31"
"20170703","월","11","부산광역시","기장군","철마면","5"
"20170703","월","11","부산광역시","남구","대연동","30"
"20170703","월","11","부산광역시","남구","문현동","5"
"20170703","월","11","부산광역시","동구","범일동","5"
"20170703","월","11","부산광역시","동구","좌천동","5"
"20170703","월","11","부산광역시","동구","초량동","5"
"20170703","월","11","부산광역시","동래구","명륜동","12"
"20170703","월","11","부산광역시","동래구","명장동","5"
"20170703","월","11","부산광역시","동래구","복천동","5"
"20170703","월","11","부산광역시","동래구","사직동","5"
"20170703","월","11","부산광역시","동래구","안락동","17"
"20170703","월","11","부산광역시","동래구","온천동","5"
"20170703","월","11","부산광역시","부산진구","가야동","5"
"20170703","월","11","부산광역시","부산진구","개금동","5"
"20170703","월","11","부산광역시","부산진구","당감동","5"
"20170703","월","11","부산광역시","부산진구","부암동","30"
"20170703","월","11","부산광역시","부산진구","양정동","5"
"20170703","월","11","부산광역시","부산진구","범전동","5"
"20170703","월","11","부산광역시","북구","구포동","30"
"20170703","월","11","부산광역시","북구","금곡동","5"
"20170703","월","11","부산광역시","북구","덕천동","5"
"20170703","월","11","부산광역시","북구","만덕동","5"
"20170703","월","11","부산광역시","북구","화명동","5"
"20170703","월","11","부산광역시","사상구","괘법동","5"
"20170703","월","11","부산광역시","사상구","엄궁동","5"
"20170703","월","11","부산광역시","사상구","주례동","5"
"20170703","월","11","부산광역시","사상구","학장동","14"
"20170703","월","11","부산광역시","사하구","감천동","5"
"20170703","월","11","부산광역시","사하구","구평동","5"
"20170703","월","11","부산광역시","사하구","당리동","5"
"20170703","월","11","부산광역시","사하구","신평동","23"
"20170703","월","11","부산광역시","사하구","장림동","5"
"20170703","월","11","부산광역시","서구","부민동1가","5"
"20170703","월","11","부산광역시","서구","부용동1가","7"
"20170703","월","11","부산광역시","서구","암남동","5"
"20170703","월","11","부산광역시","수영구","광안동","13"
"20170703","월","11","부산광역시","수영구","남천동","5"
"20170703","월","11","부산광역시","수영구","민락동","5"
"20170703","월","11","부산광역시","연제구","연산동","6"
"20170703","월","11","부산광역시","영도구","동삼동","5"
"20170703","월","11","부산광역시","영도구","영선동3가","11"
"20170703","월","11","부산광역시","영도구","청학동","5"
"20170703","월","11","부산광역시","중구","영주동","5"
"20170703","월","11","부산광역시","해운대구","반송동","5"
"20170703","월","11","부산광역시","해운대구","반여동","5"
"20170703","월","11","부산광역시","해운대구","송정동","5"
"20170703","월","11","부산광역시","해운대구","우동","25"
"20170703","월","11","부산광역시","해운대구","재송동","5"
"20170703","월","11","부산광역시","해운대구","좌동","16"
"20170703","월","11","부산광역시","해운대구","중동","5"
"20170703","월","12","부산광역시","강서구","신호동","5"
"20170703","월","12","부산광역시","금정구","부곡동","18"
"20170703","월","12","부산광역시","기장군","기장읍","15"
"20170703","월","12","부산광역시","기장군","장안읍","5"
"20170703","월","12","부산광역시","기장군","정관면","5"
"20170703","월","12","부산광역시","기장군","정관읍","23"
"20170703","월","12","부산광역시","남구","감만동","5"
"20170703","월","12","부산광역시","남구","대연동","22"
"20170703","월","12","부산광역시","동구","범일동","5"
"20170703","월","12","부산광역시","동래구","명륜동","8"
"20170703","월","12","부산광역시","동래구","안락동","15"
"20170703","월","12","부산광역시","동래구","사직동","5"
"20170703","월","12","부산광역시","동래구","온천동","5"
"20170703","월","12","부산광역시","동래구","명장동","5"
"20170703","월","12","부산광역시","부산진구","범전동","5"
"20170703","월","12","부산광역시","부산진구","부암동","25"
"20170703","월","12","부산광역시","북구","구포동","31"
"20170703","월","12","부산광역시","북구","덕천동","5"
"20170703","월","12","부산광역시","북구","만덕동","5"
"20170703","월","12","부산광역시","북구","화명동","5"
"20170703","월","12","부산광역시","사상구","괘법동","5"
"20170703","월","12","부산광역시","사상구","엄궁동","5"
"20170703","월","12","부산광역시","사상구","주례동","5"
"20170703","월","12","부산광역시","사상구","학장동","10"
"20170703","월","12","부산광역시","사하구","다대동","5"
