"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20170801","화","00","부산광역시","강서구","대저2동","5"
"20170801","화","00","부산광역시","강서구","신호동","5"
"20170801","화","00","부산광역시","금정구","구서동","5"
"20170801","화","00","부산광역시","금정구","부곡동","5"
"20170801","화","00","부산광역시","기장군","기장읍","5"
"20170801","화","00","부산광역시","기장군","일광면","5"
"20170801","화","00","부산광역시","기장군","정관읍","11"
"20170801","화","00","부산광역시","남구","대연동","9"
"20170801","화","00","부산광역시","남구","문현동","5"
"20170801","화","00","부산광역시","남구","용호동","5"
"20170801","화","00","부산광역시","동래구","명륜동","5"
"20170801","화","00","부산광역시","동래구","사직동","5"
"20170801","화","00","부산광역시","동래구","안락동","7"
"20170801","화","00","부산광역시","부산진구","부암동","23"
"20170801","화","00","부산광역시","부산진구","부전동","5"
"20170801","화","00","부산광역시","부산진구","전포동","5"
"20170801","화","00","부산광역시","북구","구포동","5"
"20170801","화","00","부산광역시","북구","만덕동","5"
"20170801","화","00","부산광역시","사상구","학장동","6"
"20170801","화","00","부산광역시","사하구","당리동","5"
"20170801","화","00","부산광역시","사하구","신평동","11"
"20170801","화","00","부산광역시","사하구","하단동","5"
"20170801","화","00","부산광역시","서구","부민동1가","6"
"20170801","화","00","부산광역시","서구","부용동1가","5"
"20170801","화","00","부산광역시","수영구","광안동","12"
"20170801","화","00","부산광역시","수영구","수영동","5"
"20170801","화","00","부산광역시","수영구","민락동","5"
"20170801","화","00","부산광역시","연제구","연산동","5"
"20170801","화","00","부산광역시","영도구","영선동3가","5"
"20170801","화","00","부산광역시","영도구","청학동","5"
"20170801","화","00","부산광역시","해운대구","반송동","5"
"20170801","화","00","부산광역시","해운대구","반여동","5"
"20170801","화","00","부산광역시","해운대구","우동","9"
"20170801","화","00","부산광역시","해운대구","재송동","5"
"20170801","화","00","부산광역시","해운대구","중동","5"
"20170801","화","00","부산광역시","해운대구","좌동","5"
"20170801","화","01","부산광역시","금정구","부곡동","5"
"20170801","화","01","부산광역시","기장군","기장읍","5"
"20170801","화","01","부산광역시","기장군","장안읍","5"
"20170801","화","01","부산광역시","기장군","정관읍","15"
"20170801","화","01","부산광역시","남구","대연동","5"
"20170801","화","01","부산광역시","남구","문현동","5"
"20170801","화","01","부산광역시","동래구","명륜동","5"
"20170801","화","01","부산광역시","동래구","안락동","5"
"20170801","화","01","부산광역시","동래구","온천동","5"
"20170801","화","01","부산광역시","부산진구","범전동","5"
"20170801","화","01","부산광역시","부산진구","부암동","14"
"20170801","화","01","부산광역시","북구","구포동","6"
"20170801","화","01","부산광역시","북구","덕천동","5"
"20170801","화","01","부산광역시","사상구","학장동","5"
"20170801","화","01","부산광역시","사상구","감전동","5"
"20170801","화","01","부산광역시","사상구","괘법동","5"
"20170801","화","01","부산광역시","사하구","괴정동","5"
"20170801","화","01","부산광역시","사하구","다대동","5"
"20170801","화","01","부산광역시","사하구","신평동","6"
"20170801","화","01","부산광역시","서구","부민동1가","8"
"20170801","화","01","부산광역시","서구","부용동1가","5"
"20170801","화","01","부산광역시","수영구","광안동","5"
"20170801","화","01","부산광역시","연제구","연산동","5"
"20170801","화","01","부산광역시","영도구","청학동","5"
"20170801","화","01","부산광역시","해운대구","우동","5"
"20170801","화","01","부산광역시","해운대구","좌동","5"
"20170801","화","01","부산광역시","해운대구","중동","5"
"20170801","화","01","부산광역시","해운대구","송정동","5"
"20170801","화","02","부산광역시","금정구","부곡동","5"
"20170801","화","02","부산광역시","기장군","기장읍","5"
"20170801","화","02","부산광역시","기장군","정관면","5"
"20170801","화","02","부산광역시","기장군","정관읍","9"
"20170801","화","02","부산광역시","남구","대연동","5"
"20170801","화","02","부산광역시","남구","문현동","5"
"20170801","화","02","부산광역시","동래구","명륜동","5"
"20170801","화","02","부산광역시","동래구","안락동","5"
"20170801","화","02","부산광역시","동래구","사직동","5"
"20170801","화","02","부산광역시","부산진구","당감동","5"
"20170801","화","02","부산광역시","부산진구","범전동","5"
"20170801","화","02","부산광역시","부산진구","부암동","8"
"20170801","화","02","부산광역시","부산진구","양정동","5"
"20170801","화","02","부산광역시","부산진구","전포동","5"
"20170801","화","02","부산광역시","부산진구","초읍동","5"
"20170801","화","02","부산광역시","북구","구포동","5"
"20170801","화","02","부산광역시","사상구","괘법동","5"
"20170801","화","02","부산광역시","사상구","학장동","5"
"20170801","화","02","부산광역시","사하구","신평동","5"
"20170801","화","02","부산광역시","서구","부민동1가","5"
"20170801","화","02","부산광역시","서구","부용동1가","5"
"20170801","화","02","부산광역시","서구","암남동","5"
"20170801","화","02","부산광역시","수영구","광안동","5"
"20170801","화","02","부산광역시","연제구","연산동","7"
"20170801","화","02","부산광역시","영도구","영선동3가","5"
"20170801","화","02","부산광역시","중구","중앙동3가","5"
"20170801","화","02","부산광역시","해운대구","반여동","5"
"20170801","화","02","부산광역시","해운대구","송정동","5"
"20170801","화","02","부산광역시","해운대구","우동","6"
"20170801","화","02","부산광역시","해운대구","좌동","5"
"20170801","화","02","부산광역시","해운대구","중동","5"
"20170801","화","03","부산광역시","금정구","부곡동","5"
"20170801","화","03","부산광역시","기장군","정관읍","5"
"20170801","화","03","부산광역시","동래구","안락동","5"
"20170801","화","03","부산광역시","부산진구","당감동","5"
"20170801","화","03","부산광역시","부산진구","부암동","6"
"20170801","화","03","부산광역시","북구","금곡동","5"
"20170801","화","03","부산광역시","사상구","모라동","5"
"20170801","화","03","부산광역시","사상구","엄궁동","5"
"20170801","화","03","부산광역시","사상구","학장동","5"
"20170801","화","03","부산광역시","사하구","신평동","5"
"20170801","화","03","부산광역시","서구","부민동1가","5"
"20170801","화","03","부산광역시","서구","부용동1가","5"
"20170801","화","03","부산광역시","수영구","광안동","5"
"20170801","화","03","부산광역시","수영구","남천동","5"
"20170801","화","03","부산광역시","수영구","망미동","5"
"20170801","화","03","부산광역시","연제구","연산동","5"
"20170801","화","03","부산광역시","해운대구","송정동","5"
"20170801","화","03","부산광역시","해운대구","재송동","5"
"20170801","화","03","부산광역시","해운대구","좌동","5"
"20170801","화","03","부산광역시","해운대구","우동","5"
"20170801","화","03","부산광역시","해운대구","중동","5"
"20170801","화","04","부산광역시","금정구","구서동","5"
"20170801","화","04","부산광역시","금정구","부곡동","5"
"20170801","화","04","부산광역시","기장군","기장읍","5"
"20170801","화","04","부산광역시","기장군","장안읍","5"
"20170801","화","04","부산광역시","기장군","정관읍","7"
"20170801","화","04","부산광역시","남구","대연동","5"
"20170801","화","04","부산광역시","남구","용호동","5"
"20170801","화","04","부산광역시","남구","문현동","5"
"20170801","화","04","부산광역시","동래구","명륜동","5"
"20170801","화","04","부산광역시","동래구","안락동","6"
"20170801","화","04","부산광역시","부산진구","부암동","8"
"20170801","화","04","부산광역시","부산진구","양정동","5"
"20170801","화","04","부산광역시","북구","구포동","12"
"20170801","화","04","부산광역시","사상구","괘법동","5"
"20170801","화","04","부산광역시","사상구","덕포동","5"
"20170801","화","04","부산광역시","사상구","모라동","5"
"20170801","화","04","부산광역시","사상구","학장동","5"
"20170801","화","04","부산광역시","사하구","감천동","5"
"20170801","화","04","부산광역시","사하구","당리동","5"
